timestamp,open,high,low,close,volume
2023-01-01,100,102,99,101,1200
2023-01-02,101,103,100,102,1100
2023-01-03,102,104,101,103,1300
2023-01-04,103,105,102,104,1250
2023-01-05,104,106,103,102,1400
2023-01-06,102,103,100,101,1500
2023-01-07,101,102,99,100,1600
2023-01-08,100,101,98,99,1550
2023-01-09,99,100,97,98,1650
2023-01-10,98,100,96,99,1700
2023-01-11,99,101,97,100,1680
2023-01-12,100,102,98,101,1720
2023-01-13,101,103,99,102,1750
2023-01-14,102,104,100,103,1780
2023-01-15,103,105,101,104,1800
